"","home_team","yardline_100","game_seconds_remaining","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","score_differential","first_down_rush","down_2","down_3","down_4","run_location_middle","run_location_right","run_gap_end","run_gap_guard","run_gap_tackle","td_team_1","td_team_2"
"112",1,0.173469387755102,0.353484466834593,0,0.126315789473684,1,0,0,0,0.442307692307692,0,1,0,0,0,0,0,1,0,0,0
"113",1,0.224489795918367,0.278197593059054,0,0.126315789473684,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
"114",1,0.693877551020408,0.165407220822838,0,0.136842105263158,1,0,0,0,0.634615384615385,0,0,0,0,0,1,1,0,0,0,0
"115",1,0.0204081632653061,0.0677301987125665,1,0.136842105263158,1,0,0,0,0.634615384615385,0,0,0,0,0,1,1,0,0,0,0
"116",0,0.36734693877551,0.818359921634481,0,0.136842105263158,1,0,0,0,0.192307692307692,0,0,0,0,0,0,1,0,0,0,0
"117",0,0.63265306122449,0.480268681780017,0,0.136842105263158,0,0,0,0,0.384615384615385,0,1,0,0,0,0,0,0,1,0,0
"118",0,0.0102040816326531,0.408060453400504,1,0.126315789473684,0,0,0,0,0.384615384615385,0,1,0,0,1,0,0,0,0,0,0
"119",0,0.653061224489796,0.11978729359082,0,0.136842105263158,0,0,0,0,0.788461538461538,0,1,0,0,1,0,0,0,0,0,0
"120",0,0.551020408163265,0.0937587461516933,0,0.126315789473684,0,0,0,0,0.788461538461538,0,0,0,0,0,0,1,0,0,0,0
"121",0,0.693877551020408,0.888888888888889,0,0.136842105263158,0,0,0,0,0.326923076923077,0,0,0,0,1,0,0,0,0,0,0
"122",0,0.428571428571429,0.853624405261685,0,0.136842105263158,0,0,0,0,0.326923076923077,0,1,0,0,0,1,0,1,0,0,0
"123",0,0.459183673469388,0.244332493702771,0,0.136842105263158,0,0,0,0,0.788461538461538,0,1,0,0,0,1,0,0,1,0,0
"124",0,0.857142857142857,0.0713685978169605,0,0.126315789473684,0,0,0,0,0.75,0,1,0,0,0,0,1,0,0,0,0
"125",1,0.540816326530612,0.824237335572348,0,0.126315789473684,0,0,0,0,0.326923076923077,0,0,0,0,1,0,0,0,0,0,0
"126",1,0.836734693877551,0.686537923313742,0,0.126315789473684,0,0,0,0,0.576923076923077,0,0,0,0,1,0,0,0,0,0,0
"127",1,0.826530612244898,0.677022110271481,0,0.136842105263158,1,0,1,1,0.576923076923077,0,1,0,0,1,0,0,0,0,0,0
"128",1,0.612244897959184,0.589980408620207,0,0.126315789473684,0,0,0,0,0.711538461538462,0,1,0,0,0,0,1,0,0,0,0
"129",1,0.23469387755102,0.529806884970613,0,0.126315789473684,0,0,0,0,0.711538461538462,0,0,0,0,1,0,0,0,0,0,0
