"","home_team","yardline_100","game_seconds_remaining","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","score_differential","first_down_rush","down_2","down_3","down_4","run_location_middle","run_location_right","run_gap_end","run_gap_guard","run_gap_tackle","td_team_1"
"230",0,0.857142857142857,0.689151208544126,0,0.102272727272727,0,0,0,0,0.60377358490566,0,0,0,0,0,1,0,1,0,0
"231",0,0.755102040816326,0.441259134345138,0,0.0909090909090909,0,0,0,0,0.60377358490566,0,0,0,0,0,0,1,0,0,0
"232",0,0.642857142857143,0.41849353569421,0,0.102272727272727,0,0,0,0,0.60377358490566,0,0,0,0,1,0,0,0,0,0
"233",0,0.428571428571429,0.337268128161889,0,0.102272727272727,1,0,0,0,0.60377358490566,0,1,0,0,0,0,0,0,1,0
"234",1,0.23469387755102,0.386453063518831,0,0.102272727272727,0,0,0,0,0.924528301886792,0,1,0,0,1,0,0,0,0,0
"235",1,0.0816326530612245,0.0505902192242833,1,0.102272727272727,0,0,0,0,0.905660377358491,0,0,0,0,1,0,0,0,0,0
"236",0,1,0.934232715008432,0,0.102272727272727,0,0,0,0,0.660377358490566,0,0,0,0,1,0,0,0,0,0
"237",0,0.459183673469388,0.855255761663856,0,0.0909090909090909,0,0,0,0,0.528301886792453,0,0,0,0,0,1,0,1,0,0
"238",0,0.642857142857143,0.713041034288926,0,0.0909090909090909,0,0,0,0,0.452830188679245,0,0,0,0,0,0,0,1,0,0
"239",0,0.551020408163265,0.679595278246206,0,0.0909090909090909,1,0,0,0,0.452830188679245,0,0,0,0,0,0,1,0,0,0
"240",0,0.479591836734694,0.461495222034851,0,0.102272727272727,0,0,0,0,0.452830188679245,0,0,0,0,0,1,1,0,0,0
"241",0,0.122448979591837,0.346543001686341,0,0.102272727272727,0,0,0,0,0.452830188679245,0,0,0,0,0,0,0,0,1,0
"242",0,0.653061224489796,0.131534569983137,0,0.102272727272727,0,0,0,0,0.716981132075472,0,0,0,0,1,0,0,0,0,0
"243",0,0.183673469387755,0.044406970207982,0,0.102272727272727,0,0,0,0,0.716981132075472,0,0,0,0,0,0,1,0,0,0
"244",0,0.163265306122449,0.0418774592467678,0,0.0909090909090909,0,0,0,0,0.716981132075472,0,1,0,0,0,1,1,0,0,0
"245",0,0.163265306122449,0.000843170320404722,1,0.102272727272727,1,0,0,0,0.641509433962264,0,1,0,0,1,0,0,0,0,0
"246",0,0.704081632653061,0.851883080382237,0,0.0909090909090909,0,0,0,0,0.660377358490566,0,0,0,0,0,1,1,0,0,0
"247",0,0.755102040816326,0.722315907813378,0,0.0909090909090909,0,0,0,0,0.39622641509434,0,0,0,0,0,1,0,1,0,0
"248",0,0.602040816326531,0.691118605958404,0,0.0909090909090909,0,0,0,0,0.39622641509434,0,1,0,0,0,1,0,0,1,0
"249",0,0.479591836734694,0.648397976391231,0,0.102272727272727,0,0,0,0,0.39622641509434,0,0,0,0,0,1,0,1,0,0
"250",0,0,0.418212478920742,1,0.0909090909090909,0,0,0,0,0.452830188679245,1,0,0,0,1,0,0,0,0,1
"251",1,0.989795918367347,0.849353569421023,0,0.102272727272727,0,0,0,0,0.660377358490566,0,0,0,0,1,0,0,0,0,0
"252",1,0.806122448979592,0.788926363125351,0,0.102272727272727,1,0,1,1,0.60377358490566,0,0,0,0,1,0,0,0,0,0
"253",1,0.857142857142857,0.719224283305228,0,0.102272727272727,0,0,0,0,0.60377358490566,0,0,0,0,1,0,0,0,0,0
"254",1,0.581632653061224,0.647835862844295,0,0.0909090909090909,0,0,0,0,0.60377358490566,0,0,0,0,0,1,1,0,0,0
"255",1,0.0408163265306122,0.553119730185497,1,0.0909090909090909,1,0,0,0,0.60377358490566,0,1,0,0,1,0,0,0,0,0
"256",1,0.346938775510204,0.349353569421023,0,0.0909090909090909,0,0,0,0,0.60377358490566,0,1,0,0,1,0,0,0,0,0
