"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","incomplete_pass"
"297",1,75,817,1,0,5,0,0,0,0,"middle","center",0,12,0,0
"308",1,1,3050,1,1,1,0,0,0,0,"left","end",2,-3,1,0
"316",1,1,2123,2,1,1,0,0,0,0,"middle","center",2,4,1,0
"318",1,74,1870,1,0,7,1,0,0,0,"middle","center",0,18,1,0
"321",1,50,1064,2,0,6,0,0,0,0,"right","end",0,21,0,0
"322",1,38,894,1,0,5,0,0,0,0,"middle","center",0,28,0,0
"323",1,33,857,2,0,9,1,0,0,0,"left","end",0,28,1,0
"324",1,24,820,1,0,5,0,0,0,0,"right","end",0,28,0,0
"326",1,15,745,3,0,3,0,0,0,0,"middle","center",0,28,1,0
"332",1,34,146,1,0,5,0,0,0,0,"left","end",0,35,0,0
"333",1,29,120,2,0,6,0,0,0,0,"right","end",0,35,1,0
"334",0,75,3600,1,0,8,0,0,0,0,"left","tackle",0,0,0,0
"336",0,66,3536,3,0,6,1,0,0,0,"left","guard",0,0,1,0
"340",0,85,2924,1,0,9,0,0,0,0,"left","end",0,7,0,0
"341",0,76,2884,2,0,6,0,0,0,0,"right","tackle",0,7,1,0
"344",0,53,2490,2,0,9,0,0,0,0,"right","tackle",0,7,1,0
"345",0,44,2451,1,0,9,0,0,0,0,"right","guard",0,7,0,0
"346",0,35,2409,2,0,4,0,0,0,0,"right","guard",0,7,1,0
"349",0,27,2049,1,0,5,1,0,0,0,"middle","center",0,7,0,0
"350",0,17,2028,1,0,5,0,0,0,0,"left","tackle",0,7,0,0
"356",0,75,928,1,0,5,0,0,0,0,"left","guard",0,10,0,0
"358",0,70,310,1,0,9,1,0,0,0,"middle","center",0,3,0,0
"359",0,61,264,2,0,4,0,0,0,0,"middle","center",0,3,1,0
"361",0,53,183,2,0,9,0,0,0,0,"left","end",0,3,1,0
"376",0,52,1903,2,0,9,1,0,1,1,"left","end",0,11,1,0
"379",0,46,1336,1,0,8,0,0,0,0,"right","guard",0,14,1,0
"383",0,9,858,1,1,6,0,0,0,0,"left","guard",0,11,0,0
"384",0,3,821,2,1,3,0,0,0,0,"right","tackle",2,11,1,0
"387",0,56,205,1,0,5,0,0,0,0,"left","tackle",0,12,0,0
"398",1,34,2895,3,0,8,1,0,0,0,"middle","center",0,0,1,0
"400",1,5,2747,3,0,5,1,0,0,0,"middle","center",2,0,1,0
"401",1,60,2473,2,0,7,0,0,0,0,"left","end",0,4,0,0
"404",1,39,2100,1,0,9,0,0,0,0,"middle","center",0,-3,0,0
"405",1,30,2058,2,0,7,1,0,0,0,"middle","center",0,-3,1,0
"408",1,8,1936,2,1,8,0,0,0,0,"left","end",2,-3,1,0
"409",1,37,1886,1,0,7,1,0,0,0,"middle","center",0,4,0,0
"410",1,75,1407,1,0,8,0,0,0,0,"right","end",0,-4,0,0
"411",1,67,1368,2,0,4,1,0,0,0,"middle","center",0,-4,1,0
"413",1,54,985,1,0,9,1,0,0,0,"left","end",0,-4,0,0
"3",1,72,2978,2,0,13,0,0,0,0,"left","end",0,3,1,0
