"","home_team","yardline_100","game_seconds_remaining","down","goal_to_go","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","first_down_rush","incomplete_pass"
"323",0,40,1271,2,0,3,1,0,0,0,"right","end",0,-13,0,0
"329",0,59,476,4,0,1,0,0,0,0,"left","tackle",0,-10,1,0
"334",0,61,3166,2,0,3,0,0,0,0,"left","guard",0,-14,0,0
"337",0,55,2530,1,0,3,0,0,0,0,"left","guard",0,-14,0,0
"343",0,94,2058,2,0,3,0,0,0,0,"right","guard",0,-11,0,0
"344",0,58,1757,1,0,4,0,0,0,0,"right","tackle",0,-14,0,0
"347",0,71,1299,1,0,3,0,0,1,1,"right","end",0,-14,0,0
"350",0,15,1128,2,0,3,0,0,0,0,"left","guard",0,-14,0,0
"351",0,12,1082,3,0,3,1,0,1,1,"right","end",0,-14,0,0
"353",0,67,499,2,0,3,1,0,1,1,"right","end",0,-12,0,0
"355",1,6,3125,1,1,4,1,0,0,0,"middle","center",0,-3,0,0
"357",1,38,2574,2,0,3,0,0,0,0,"middle","center",0,-7,0,0
"361",1,72,1755,2,0,2,0,0,0,0,"middle","center",0,-4,1,0
"364",1,33,1504,2,0,4,1,0,0,0,"middle","center",0,-4,0,0
"375",1,12,158,3,0,2,0,0,0,0,"middle","center",0,18,1,0
"2",1,37,3079,1,0,2,0,0,0,0,"middle","center",0,-10,0,0
"9",1,69,1736,2,0,1,0,0,0,0,"middle","center",0,-10,0,0
"12",1,28,1488,2,0,2,0,0,0,0,"middle","center",0,-10,0,0
"14",1,79,649,1,0,2,1,0,0,0,"right","end",0,-24,0,0
"18",0,63,3537,1,0,1,0,0,0,0,"middle","center",0,0,0,0
"20",0,71,3295,2,0,2,0,0,0,0,"left","tackle",0,0,0,0
"21",0,85,2808,1,0,1,0,0,0,0,"right","guard",0,-3,0,0
"23",0,67,2700,2,0,2,1,0,1,1,"middle","center",0,-3,0,0
"24",0,85,2494,1,0,2,0,0,0,0,"right","guard",0,-3,0,0
"28",0,75,1612,1,0,1,0,0,0,0,"left","end",0,-3,0,0
"29",0,64,1531,1,0,2,0,0,0,0,"middle","center",0,-3,0,0
"30",0,43,1242,2,0,2,1,0,0,0,"left","tackle",0,-3,0,0
"49",1,24,1417,2,0,2,0,0,0,0,"middle","center",0,14,0,0
"54",1,9,222,1,1,2,0,0,0,0,"middle","center",0,13,0,0
"57",0,99,3366,1,0,2,0,0,0,0,"middle","center",0,0,0,0
"60",0,46,3085,1,0,1,0,0,0,0,"right","guard",0,-7,0,0
"64",0,64,2579,1,0,1,0,0,0,0,"left","guard",0,-11,0,0
"65",0,55,2460,1,0,1,1,0,0,0,"left","end",0,-11,0,0
"70",0,48,1684,1,0,2,0,0,0,0,"right","end",0,-11,0,0
"76",0,13,1275,1,0,2,0,0,0,0,"left","tackle",0,-11,0,0
"85",0,65,510,1,0,2,0,0,0,0,"middle","center",0,3,0,0
"90",0,19,200,1,0,2,0,0,0,0,"left","end",0,3,0,0
"91",0,17,191,2,0,1,0,0,0,0,"right","end",0,3,0,0
"94",0,17,45,2,1,2,1,0,0,0,"middle","center",0,-1,0,0
"96",0,70,3073,1,0,1,0,0,0,0,"right","end",0,0,0,0
"100",0,75,2612,1,0,1,0,0,0,0,"right","guard",0,-14,0,0
"102",0,60,2501,2,0,1,0,0,0,0,"right","tackle",0,-14,0,0
"103",0,48,2349,1,0,2,0,0,0,0,"right","guard",0,-14,0,0
"110",0,1,1530,1,1,1,0,0,0,0,"middle","center",1,-11,1,0
"126",1,98,3064,1,0,2,0,0,0,0,"middle","center",0,0,0,0
"127",1,80,2849,1,0,2,1,0,1,1,"middle","center",0,-3,0,0
"129",1,85,2601,1,0,2,0,0,0,0,"middle","center",0,-3,0,0
"131",1,58,2347,1,0,1,0,0,0,0,"right","end",0,-3,0,0
"137",1,5,2010,2,1,1,1,0,0,0,"middle","center",0,-3,0,0
"140",1,35,1285,2,0,1,0,0,0,0,"middle","center",0,-3,0,0
"143",1,75,709,1,0,2,1,0,0,0,"left","end",0,-7,0,0
"144",1,48,627,1,0,2,0,0,0,0,"left","end",0,-7,0,0
"146",1,85,418,2,0,1,1,0,0,0,"middle","center",0,-7,0,0
"150",0,77,3220,1,0,2,0,0,0,0,"left","tackle",0,0,0,0
"152",0,99,2818,1,0,1,0,0,0,0,"middle","center",0,0,0,0
"161",0,43,2307,2,0,2,0,0,0,0,"left","end",0,0,0,0
"167",0,50,1669,2,0,2,0,0,0,0,"left","guard",0,-1,0,0
"171",0,33,1507,1,0,2,0,0,0,0,"right","guard",0,-1,0,0
"174",0,21,1361,3,0,2,1,0,1,1,"middle","center",0,-1,0,0
"186",0,12,143,1,0,2,0,0,0,0,"right","tackle",0,14,0,0
"200",1,7,2031,1,1,1,0,0,0,0,"middle","center",0,6,0,0
"205",1,79,1405,1,0,1,0,0,0,0,"middle","center",0,12,0,0
"206",1,66,1174,2,0,1,1,0,0,0,"middle","center",0,12,0,0
"210",1,64,753,1,0,2,0,0,0,0,"middle","center",0,7,0,0
"213",1,9,426,1,1,1,1,0,0,0,"middle","center",0,7,0,0
"223",1,29,2033,1,0,1,0,0,0,0,"middle","center",0,-9,0,0
"228",1,75,1197,1,0,1,0,0,0,0,"right","guard",0,-9,0,0
"239",0,63,2658,1,0,2,0,0,0,0,"middle","center",0,0,0,0
"242",0,50,1228,1,0,1,0,0,0,0,"middle","center",0,-10,0,0
"244",0,69,3555,2,0,1,0,0,0,0,"right","tackle",0,0,0,0
"246",0,39,3431,1,0,1,1,0,0,0,"middle","center",0,0,0,0
